code,display,display_en,aliases
A10BA02,Metformina,Metformin,metformina 850mg|metformina 500mg|metformina 1000mg|glucophage
C09AA02,Enalapril,Enalapril,enalapril 10mg|enalapril 20mg|enalapril 5mg
C09CA01,Losartán,Losartan,losartan 50mg|losartán 50mg|losartán 100mg|cozaar
C07AB03,Atenolol,Atenolol,atenolol 50mg|atenolol 25mg|atenolol 100mg
B01AC06,Aspirina,Aspirin,aspirina 100mg|ácido acetilsalicílico|AAS|aspirineta|cardioaspirina
A02BC01,Omeprazol,Omeprazole,omeprazol 20mg|omeprazol 40mg|IBP
A10AC01,Insulina NPH,Insulin NPH,insulina|insulina humana|insulina basal|insulina intermedia
R03AC02,Salbutamol,Salbutamol,salbutamol inhalatorio|ventolín|albuterol|broncodilatador
H03AA01,Levotiroxina,Levothyroxine,levotiroxina 50mcg|levotiroxina 75mcg|levotiroxina 100mcg|T4|synthroid
C08CA01,Amlodipina,Amlodipine,amlodipina 5mg|amlodipina 10mg|norvasc
N06AB06,Sertralina,Sertraline,sertralina 50mg|sertralina 100mg|zoloft|ISRS
C10AA05,Atorvastatina,Atorvastatin,atorvastatina 20mg|atorvastatina 40mg|lipitor|estatina
B01AC04,Clopidogrel,Clopidogrel,clopidogrel 75mg|plavix|antiagregante
