code,display,display_en,aliases
44054006,Type 2 diabetes mellitus,Type 2 diabetes mellitus,type 2 diabetes|T2DM|diabetes type 2|adult-onset diabetes|non-insulin-dependent diabetes|NIDDM|DM2
73211009,Type 1 diabetes mellitus,Type 1 diabetes mellitus,type 1 diabetes|T1DM|diabetes type 1|juvenile diabetes|insulin-dependent diabetes|IDDM|DM1
46635009,Type 1 DM with ketoacidosis,Type 1 DM with ketoacidosis,diabetic ketoacidosis|DKA|ketoacidosis
59621000,Essential hypertension,Essential hypertension,hypertension|HTN|high blood pressure|primary hypertension
77506005,Chagas disease,Chagas disease,chagas|American trypanosomiasis|Trypanosoma cruzi
38362002,Dengue,Dengue,dengue fever|dengue hemorrhagic fever|classic dengue
195967001,Asthma,Asthma,bronchial asthma|asthma attack|bronchospasm
13645005,Chronic obstructive pulmonary disease,COPD,COPD|emphysema|chronic bronchitis|chronic lung disease
22298006,Myocardial infarction,Myocardial infarction,MI|heart attack|acute MI|AMI|STEMI|NSTEMI
84114007,Heart failure,Heart failure,HF|CHF|congestive heart failure|cardiac failure
56265001,Rheumatic heart disease,Rheumatic heart disease,rheumatic carditis|rheumatic fever heart disease
235856003,Viral hepatitis,Viral hepatitis,hepatitis|viral hepatitis
56717001,Tuberculosis,Tuberculosis,TB|pulmonary tuberculosis|pulmonary TB
414545008,Ischemic heart disease,Ischemic heart disease,IHD|coronary artery disease|CAD|coronary heart disease
267036007,Iron deficiency anemia,Iron deficiency anemia,IDA|iron deficiency|ferropenic anemia
49436004,Atrial fibrillation,Atrial fibrillation,AFib|AF|atrial fib|cardiac arrhythmia AF
38341003,Systemic hypertension,Hypertension,systemic arterial hypertension|systemic HTN
73430006,Sleep apnea,Sleep apnea,obstructive sleep apnea|OSA|sleep apnea syndrome
399068003,Acute lymphoblastic leukemia,Acute lymphoblastic leukemia,ALL|acute leukemia|lymphoblastic leukemia
190331003,Hypothyroidism,Hypothyroidism,underactive thyroid|low thyroid|primary hypothyroidism|high TSH
34713006,Hypoglycemia,Hypoglycemia,low blood sugar|low glucose|hypoglycemic episode
267432004,Anemia,Anemia,chronic anemia|low hemoglobin|pallor
35489007,Depression,Depression,major depression|depressive disorder|MDD|clinical depression
197480006,Generalized anxiety disorder,Generalized anxiety disorder,anxiety|GAD|anxiety disorder|chronic anxiety
58150001,Hip fracture,Hip fracture,proximal femur fracture|broken hip|femoral fracture
263102004,Wrist fracture,Wrist fracture,Colles fracture|broken wrist|distal radius fracture
68566005,Urinary tract infection,Urinary tract infection,UTI|bladder infection|cystitis
36971009,Sinusitis,Sinusitis,acute sinusitis|chronic sinusitis|sinus infection
43878008,Leishmaniasis,Leishmaniasis,cutaneous leishmaniasis|visceral leishmaniasis|kala-azar
61462000,Malaria,Malaria,malarial fever|plasmodium infection
75570004,Hantavirus pulmonary syndrome,Hantavirus pulmonary syndrome,hantavirus|HPS|hantavirus infection
409966000,Leptospirosis,Leptospirosis,Weil disease|leptospiral infection
409498004,Argentine hemorrhagic fever,Argentine hemorrhagic fever,AHF|Junin virus|hemorrhagic fever
398102009,Obesity,Obesity,morbid obesity|high BMI|severe overweight
162864005,Back pain,Back pain,low back pain|lumbago|lumbalgia|dorsalgia
396275006,Osteoarthritis,Osteoarthritis,OA|degenerative joint disease|joint degeneration
69896004,Rheumatoid arthritis,Rheumatoid arthritis,RA|autoimmune arthritis|rheumatoid
40055000,Chronic kidney disease,Chronic kidney disease,CKD|chronic renal failure|CRF|chronic nephropathy
90708001,Acute kidney injury,Acute kidney injury,AKI|acute renal failure|ARF
698247007,Cardiac arrhythmia,Cardiac arrhythmia,arrhythmia|tachycardia|bradycardia|palpitations
230690007,Stroke,Stroke,CVA|cerebrovascular accident|brain attack|cerebral infarction
53741008,Coronary artery disease,Coronary artery disease,CAD|coronary atherosclerosis|coronary disease
371807002,Deep vein thrombosis,Deep vein thrombosis,DVT|blood clot in leg|venous thrombosis
59282003,Pulmonary embolism,Pulmonary embolism,PE|pulmonary thromboembolism|lung clot
49727002,Hepatic cirrhosis,Hepatic cirrhosis,cirrhosis|liver cirrhosis|chronic liver disease
235595009,Hepatic steatosis,Hepatic steatosis,fatty liver|NAFLD|nonalcoholic fatty liver disease|steatosis
34000006,Crohn disease,Crohn disease,Crohn's|inflammatory bowel disease|IBD Crohn
64766004,Ulcerative colitis,Ulcerative colitis,UC|colitis|inflammatory bowel disease UC
396331005,Osteoporosis,Osteoporosis,bone loss|fragile bones|low bone density
76902006,Hyperlipidemia,Hyperlipidemia,high cholesterol|dyslipidemia|hypercholesterolemia
371125006,Hyperglycemia,Hyperglycemia,high blood sugar|elevated glucose|high glucose
25064002,Headache,Headache,cephalalgia|tension headache|head pain
37796009,Migraine,Migraine,migraine with aura|migraine without aura|severe headache
62914000,Cerebrovascular disease,Cerebrovascular disease,CVD|vascular brain disease
